scenario_id,mc_run,error,mae_rt_sCFR,mciw_rt_sCFR,mcic_rt_sCFR,mae_rcf_sCFR,mciw_rcf_sCFR,mcic_rcf_sCFR,bias_beta_abs_1_sCFR,width_beta_abs_1_sCFR,cover_beta_abs_1_sCFR,bias_lambda_1_sCFR,width_lambda_1_sCFR,cover_lambda_1_sCFR,bias_beta_abs_2_sCFR,width_beta_abs_2_sCFR,cover_beta_abs_2_sCFR,bias_lambda_2_sCFR,width_lambda_2_sCFR,cover_lambda_2_sCFR,mae_rt_cCFR_cumulative,mciw_rt_cCFR_cumulative,mcic_rt_cCFR_cumulative,mae_rt_aCFR_cumulative,mciw_rt_aCFR_cumulative,mcic_rt_aCFR_cumulative,mae_rt_its,mciw_rt_its,mcic_rt_its,mae_rcf_its,mciw_rcf_its,mcic_rcf_its,bias_beta_abs_1_its,width_beta_abs_1_its,cover_beta_abs_1_its,bias_lambda_1_its,width_lambda_1_its,cover_lambda_1_its,bias_beta_abs_2_its,width_beta_abs_2_its,cover_beta_abs_2_its,bias_lambda_2_its,width_lambda_2_its,cover_lambda_2_its
S12,1,None,0.00036217874730937183,0.0021178130372427406,1.0,0.0008461270481348038,0.012183293269772546,1.0,-0.06201350688934326,3.393589022709056,True,-0.12929028272628784,2.80755536193028,True,-0.11477065086364746,3.0692180804908276,True,-0.0825226902961731,3.091470528859645,True,0.014885173178356604,0.0007147857843916694,0.01,0.011629239344021053,0.0022186494311622327,0.105,0.0003157635323098881,0.0019268842498302247,1.0,0.002785628986436391,0.0028685677880379277,0.435,-0.9991770723703737,0.07465578126560345,False,0.6494860922933736,0.04478205173996086,False,-0.9958353390236279,0.07673361070726635,False,-0.5316964470580499,0.33586260397615064,False
S12,2,None,0.00032449408899992704,0.002262442868435755,1.0,0.007518758997321129,0.03418766520358621,1.0,0.7694119215011597,4.558430303633211,True,0.5489610433578491,4.381308444961905,True,-0.15908509492874146,3.013907848019151,True,-0.07358211278915405,3.574608872830866,True,0.0148707990354055,0.0007076317847350558,0.005,0.011612336161826647,0.0021877747182045236,0.07,0.00040219088447844824,0.0013818146817357816,0.78,0.003363359280756694,0.0013378614715915571,0.165,-1.0,0.008716531425298863,False,0.509757451521639,5.871855061267972e-05,False,-0.9986691470336122,0.08797584938697761,False,-0.9575733703591083,0.06090031749936641,False
S12,3,None,0.0004635603108908981,0.002190079387568403,0.93,0.011286666616797447,0.04725368943647481,1.0,1.0014066696166992,5.145476544275879,True,0.676061749458313,4.13217875920236,True,-0.2879890203475952,2.5507074436405666,True,-0.30156588554382324,2.382451054872945,True,0.01490160569097542,0.0006974002801005315,0.005,0.011662147728624173,0.0014824583807786223,0.045,0.0006594603507337606,0.001697384250586741,0.625,0.0035296844403809677,0.0017526193174085905,0.115,-1.0,0.012302295228991867,False,0.7188098966470435,0.00025728240934497215,False,-1.0,7.420451171859226e-05,False,-0.999999,0.0004366582544399871,False
S12,4,None,0.0005265922518447042,0.00155523428262677,0.875,0.009399881586432457,0.015590693139703946,0.955,1.3281474113464355,3.710120889544487,True,0.23324978351593018,1.7888901799917216,True,0.41714608669281006,1.9591746902093292,True,-0.7876080721616745,1.4508479818701743,True,0.014938029123639302,0.0007010491005329266,0.005,0.011711154121320433,0.0016642308067570388,0.05,0.0019228778097844256,0.0020000032921020415,0.28,0.004047998975336354,0.0023739945470263994,0.155,-0.9991867861549789,0.043335941375777655,False,0.6411698990661261,0.00020138295201599377,False,-1.0,1.4121143410721228e-06,False,-0.999999,3.01830825508261e-07,False
S12,5,None,0.0004871578421443701,0.0022037423598812896,1.0,0.005128752440214157,0.026650748820451552,1.0,0.5110108852386475,4.346320733521133,True,0.4231903553009033,3.9554027311503863,True,-0.1312568187713623,3.1043393973726774,True,-0.1491788625717163,3.060744564933702,True,0.014857196552476335,0.0007104195221604168,0.01,0.011488669929634305,0.001651501162685125,0.09,0.0006842493277532548,0.0013422611764165337,0.5,0.0030022719584757484,0.001340820150007912,0.155,-1.0,0.0036653079566296887,False,1.46994443697093,2.7201194007897556e-05,False,-0.9999990592571516,7.991673442005576e-05,False,-0.999999,7.855582347870432e-05,False
S12,6,None,0.0005995110259391367,0.00233175568660954,0.975,0.023434462025761604,0.06680173154867954,0.975,1.67454195022583,5.8001185089349745,True,1.2416210174560547,4.84087425172329,True,-0.04575181007385254,3.333118560956791,True,-0.032346129417419434,3.465805475832893,True,0.01493412683752724,0.0006963798781177532,0.01,0.011712009102040248,0.0014901412987901388,0.05,0.0005215352322853151,0.0014200348219155286,0.725,0.0034696804591056816,0.0013732633085602982,0.12,-1.0,0.011401513745548871,False,0.13148183222027354,0.00025277725222938585,False,-1.0,0.02613936424257611,False,-0.17317491060352452,0.0003155800218769267,False
S12,7,None,0.0004356730787549168,0.0022968760596704667,1.0,0.01692001149058342,0.055591661895625276,1.0,1.2268877029418945,5.225858438014981,True,1.0079302787780762,4.54813225492835,True,-0.16594308614730835,2.945728829409927,True,-0.19279605150222778,3.0794494986068455,True,0.014939439070390761,0.0006902970359910276,0.01,0.011829245071812142,0.0012159401487801542,0.01,0.0007429782167583571,0.0014604380606389915,0.53,0.00311619728103156,0.0019044832532249477,0.125,-1.0,0.04648896634116361,False,0.9534991151813226,0.0006148377724826126,False,-1.0,8.489991592267003e-06,False,-0.999999,6.66992274440907e-07,False
S12,8,None,0.0005633413093164563,0.0019949680102290587,0.785,0.0029107732698321342,0.004605319458758458,0.345,-0.43551337718963623,2.2925465249456463,True,-0.2673527002334595,3.1904958941973742,True,-0.10714322328567505,3.4734274523332713,True,-0.13731223344802856,3.081175276776775,True,0.014819771270292065,0.0007033142737526451,0.005,0.011523154790495873,0.0016385693375917697,0.075,0.0007269367403229132,0.0016115008984067002,0.545,0.0033845224236732385,0.0016079641637598457,0.22,-1.0,0.0021410024551747784,False,0.3188603135790451,8.890505314984587e-05,False,-1.0,0.000169615155029813,False,-0.4884729155741283,0.0006795297729759175,False
S12,9,None,0.00041587985469959676,0.0021266789091750975,0.985,0.0020904315169900656,0.006926803355512674,1.0,-0.22839581966400146,2.7095562389120462,True,-0.22354930639266968,3.010515520442277,True,0.08614277839660645,3.721200729720293,True,0.18969500064849854,4.210806310269981,True,0.014993532700762376,0.0007047282199340857,0.005,0.011858418617217693,0.002229572469951108,0.06,0.00032806831834060614,0.0021052077820337516,1.0,0.0022670416090465224,0.004955009646681654,0.61,-0.9683886764366247,0.15503783085121725,False,0.6725472611639347,0.07810445100895325,False,-0.9760866507180135,0.2144939543442344,False,-0.08658186832083636,0.18353765574273195,False
S12,10,None,0.0005971899372525513,0.0020961124898167325,0.855,0.0011545988963916898,0.01003742972621694,1.0,-0.08152806758880615,2.9696523454040284,True,-0.13164281845092773,3.02011522138491,True,-0.04931718111038208,4.032023545447737,True,-0.16052186489105225,3.0689232467673717,True,0.014860257970316718,0.0006996563528473471,0.005,0.011589638317400367,0.0013750531999969003,0.055,0.0024989360460357206,0.0027635308031517414,0.255,0.003811404884787177,0.0032829099788679052,0.215,-0.9915636836562327,0.05706276965080788,False,0.018055842403449818,0.0014836083879206097,False,-1.0,5.9670354100686804e-05,False,-0.6400908146857712,0.0015169010691107876,False
