scenario_id,mc_run,error,mae_rt_sCFR,mciw_rt_sCFR,mcic_rt_sCFR,mae_rcf_sCFR,mciw_rcf_sCFR,mcic_rcf_sCFR,bias_beta_abs_1_sCFR,width_beta_abs_1_sCFR,cover_beta_abs_1_sCFR,bias_lambda_1_sCFR,width_lambda_1_sCFR,cover_lambda_1_sCFR,mae_rt_cCFR_cumulative,mciw_rt_cCFR_cumulative,mcic_rt_cCFR_cumulative,mae_rt_aCFR_cumulative,mciw_rt_aCFR_cumulative,mcic_rt_aCFR_cumulative,mae_rt_its,mciw_rt_its,mcic_rt_its,mae_rcf_its,mciw_rcf_its,mcic_rcf_its,bias_beta_abs_1_its,width_beta_abs_1_its,cover_beta_abs_1_its,bias_lambda_1_its,width_lambda_1_its,cover_lambda_1_its
S05,1,None,0.0002800941001623869,0.0018324957694276234,1.0,0.0005076441448181868,0.0063541195386787866,1.0,0.15556013584136963,3.506656732875852,True,0.22564613819122314,3.924197184201325,True,0.008644683093584776,0.0007663262727842865,0.025,0.006795501294055734,0.0021787154296117905,0.045,0.00019630508579760182,0.0015514155290832358,1.0,0.0010804609818751399,0.001699219254573941,0.6,-0.9979018224560091,0.07867165440496557,False,0.7708839473046667,0.022403894887256914,False
S05,2,None,0.00040652474854141474,0.0016460201597656122,0.875,0.0012904265895485878,0.006378465477086138,1.0,0.7188922166824341,3.6445498406887054,True,0.0870136022567749,2.8280749045312397,True,0.00874155667424648,0.000761026801821206,0.03,0.006613520069202449,0.0020752799767236063,0.115,0.001703578851130788,0.0026528535187645337,0.365,0.0029334249412637163,0.00585172952212073,0.29,-0.5936601326468479,0.45144362447806297,False,0.9244568653400518,0.013340071950221688,False
S05,3,None,0.0002879350504372269,0.0017837501139729283,1.0,0.000494547828566283,0.0053165413920651175,1.0,0.08115935325622559,3.2981974424794296,True,0.1693112850189209,3.5519515182822934,True,0.008813061618680562,0.0007550209839898623,0.02,0.006260008195145534,0.0020507790814029044,0.13,0.0021126370538408603,0.0024356477199353192,0.325,0.00406363522622733,0.005976676068649009,0.26,-0.5074473890073389,0.4529246630802045,False,0.8651461960547784,0.012716827748307846,False
S05,4,None,0.00037054307176731527,0.0017263079268159346,1.0,0.0006735131028108299,0.0031686218724353236,1.0,-0.15190553665161133,2.7395493766758574,True,-0.10430353879928589,2.994164011720568,True,0.008691043054892855,0.00076292271166435,0.02,0.006394916897439762,0.002648488664940144,0.1,0.00026882590703811984,0.0013098500611510588,0.9,0.0012063919356168908,0.0014183113075196053,0.565,-1.0,0.06082564698659106,False,1.189587314928676,0.0007408235904695637,False
S05,5,None,0.00037162695662118495,0.0017758320231805553,1.0,0.000848749652504921,0.003574588209565263,1.0,-0.1839330792427063,2.925525054684839,True,-0.16276699304580688,3.050721151079051,True,0.008618948450774164,0.0007630368579627758,0.03,0.0066476057378618385,0.0021663029217650833,0.095,0.0003598832222409628,0.0013190146895862408,0.955,0.0010400953865380201,0.0016159154823966854,0.615,-0.9593532968075571,0.09580319193259403,False,0.7714337755936636,0.01362205317561882,False
S05,6,None,0.0003555924049578607,0.001994561695726588,0.97,0.006750208791345358,0.028127141312987068,0.985,1.4104866981506348,5.542988134920597,True,1.0371899604797363,4.8847399961203335,True,0.008821278834587559,0.0007626343833161453,0.025,0.006322800989603263,0.0027275651283508117,0.14,0.00038274421057045926,0.0015762331880662022,0.975,0.000799313294182685,0.002023094560496272,0.75,-0.9805183890311215,0.11596638160299845,False,0.8259930093346228,0.0057251806602363065,False
S05,7,None,0.00031485393992625177,0.0018105590661871246,0.925,0.0004315022088121623,0.0041120158671401445,1.0,0.02308058738708496,3.0935743895359336,True,0.003720402717590332,3.1435341014061122,True,0.008693209196533378,0.0007602765662376841,0.025,0.007088840146253438,0.0018552027368781364,0.055,0.0020107989349177693,0.0024817621775563834,0.345,0.003739018214064908,0.006316377937671235,0.26,-0.4892686798961321,0.4931191367613851,False,0.9022895048946229,0.01156554222827988,False
S05,8,None,0.00027846742887049913,0.0018042773789493365,1.0,0.0008687308290973306,0.0025315205786027944,0.95,-0.3069115877151489,2.549775357590987,True,-0.24822211265563965,2.9317874189000572,True,0.008751132479109318,0.0007625671097548796,0.02,0.006505478675128034,0.00312515761259546,0.13,0.0021552453333596798,0.002309832775231881,0.335,0.004249624301287194,0.005724446022658722,0.28,-0.4605851447584046,0.43369483760210936,False,0.506786867473638,0.016885118696183365,False
S05,9,None,0.00029647332848981023,0.0018658715837518683,1.0,0.001201395527459681,0.00875741743389517,1.0,0.47844552993774414,4.238862359803168,True,0.3606032133102417,4.071256340760737,True,0.008758843704531592,0.0007653430981188482,0.025,0.006582937987988562,0.0030765682949352724,0.135,0.0022869889116640175,0.002119732320735211,0.355,0.00458061337060187,0.005334463562581712,0.315,-0.45496015492595543,0.3527902178339481,False,1.0287052633856844,0.005106835319448777,False
S05,10,None,0.000435156311141327,0.0017674404393183067,1.0,0.0007456266321241856,0.003633044037793297,1.0,-0.1462917923927307,3.0394891420379277,True,-0.11033511161804199,3.186455284664407,True,0.008822964394373375,0.0007474415609863505,0.025,0.006646183667947215,0.0018937086748636418,0.105,0.0004176250065638344,0.00011880236491369155,0.135,0.0007258878315191572,0.00011234076287395166,0.115,-0.9433138689390401,0.0022603783898086233,False,0.7945863986079629,3.4735517195905175e-06,False
