scenario_id,mc_run,error,mae_rt_sCFR,mciw_rt_sCFR,mcic_rt_sCFR,mae_rcf_sCFR,mciw_rcf_sCFR,mcic_rcf_sCFR,bias_beta_abs_1_sCFR,width_beta_abs_1_sCFR,cover_beta_abs_1_sCFR,bias_lambda_1_sCFR,width_lambda_1_sCFR,cover_lambda_1_sCFR,mae_rt_cCFR_cumulative,mciw_rt_cCFR_cumulative,mcic_rt_cCFR_cumulative,mae_rt_aCFR_cumulative,mciw_rt_aCFR_cumulative,mcic_rt_aCFR_cumulative,mae_rt_its,mciw_rt_its,mcic_rt_its,mae_rcf_its,mciw_rcf_its,mcic_rcf_its,bias_beta_abs_1_its,width_beta_abs_1_its,cover_beta_abs_1_its,bias_lambda_1_its,width_lambda_1_its,cover_lambda_1_its
S08,1,None,0.0003900688898283988,0.0018928395749535408,0.985,0.0017067515291273594,0.008472708613262513,0.985,0.48845410346984863,3.8721770256757733,True,0.608525276184082,4.975417580455542,True,0.010854168817510966,0.000750926426173763,0.01,0.007909335296217108,0.0026560391537742184,0.115,0.0005919760681803468,0.0011484221463064204,0.54,0.0008301375184193907,0.0014260736429522263,0.75,-0.8987176462363085,0.09471521480196027,False,0.6083323822089834,0.0014050213404621648,False
S08,2,None,0.0005301600904203951,0.0017729072776273825,0.785,0.0008520654519088566,0.00374169779708609,0.885,-0.11439007520675659,3.0361313043162212,True,-0.12623250484466553,3.2359007471241044,True,0.01098719589817917,0.0007346732529812052,0.01,0.008031421606495554,0.0018496399040060663,0.07,0.00036688324040760087,0.001573095053142967,0.935,0.0011886430763911105,0.0021234459093820946,0.775,-0.9972766397113237,0.15526687091388297,False,1.10529853589242,0.014907935350506829,False
S08,3,None,0.00035209290217608213,0.0017174169186037033,0.99,0.002245647367089987,0.008241386698908173,0.99,1.2407886981964111,5.364753920957446,True,0.0228348970413208,3.4438291213475143,True,0.011053340551062362,0.0007392006250485614,0.01,0.008338848338012066,0.0027440597968179025,0.06,0.0003733195733888098,0.0015569957468988581,0.82,0.0008993264625722766,0.0019977972721508695,0.71,-0.9446573673494529,0.12791222425329746,False,0.5974099586129058,0.012755819720788653,False
S08,4,None,0.00035602026036940515,0.0018300919983303173,0.99,0.0005702623166143894,0.0033794118262594564,0.99,-0.16047698259353638,2.9806939263828096,True,-0.1495981216430664,2.893299890216439,True,0.011029697061558217,0.0007406446563089808,0.01,0.008095239982014613,0.0018977186685807032,0.08,0.0005154998245553001,0.0012101093889726306,0.595,0.0009458224469713727,0.0015307988595061447,0.7,-0.9663661414321729,0.13201205689733822,False,0.5622946977290393,0.0006948968319742121,False
S08,5,None,0.0003293623449280858,0.0017667727738735267,1.0,0.00044411688577383757,0.005291194391204044,1.0,0.06638455390930176,3.292073273705318,True,0.15858018398284912,3.782067127618937,True,0.011065899647146602,0.000730631772794178,0.01,0.008065400529078923,0.0017707094421653047,0.07,0.00041602431660992136,0.0014764385251115973,0.71,0.0006631451315630816,0.0022818713912932513,0.77,-0.9102242546248225,0.223332004995159,False,0.6065566393184159,0.016145280659918715,False
S08,6,None,0.00036064189043827355,0.001832749030087143,0.945,0.0009450385696254671,0.006636070446809754,1.0,0.24098145961761475,3.2120932182297097,True,0.4778376817703247,4.423692339006812,True,0.01097666490464027,0.0007278950806532442,0.01,0.007941259798383851,0.0018712830285820153,0.06,0.0024821492043661103,0.0018060766558357021,0.11,0.010216812649684472,0.006287388546221156,0.08,0.021998187069625974,0.34053462313314786,True,0.8700485628280092,0.007261770938740364,False
S08,7,None,0.0003311678010504693,0.0017776342076249421,0.9,0.0008076898520812392,0.0030828776222188024,0.9,-0.27563273906707764,2.5166375378146757,True,-0.15450423955917358,3.2238468893337995,True,0.010877570649039478,0.000734805987757873,0.005,0.007819527188277792,0.0018317057838676473,0.075,0.00043515228932264045,0.0019420104224932605,0.895,0.0010035979160884136,0.0033773483353629497,0.85,-0.9062558151192479,0.33164435956155697,False,1.6280314777512697,0.042631033450745814,False
S08,8,None,0.0004122019454371184,0.0018690374669386072,0.89,0.0008462354307994246,0.006740174553939141,1.0,0.13188183307647705,3.613057352323084,True,0.7040048837661743,6.662720885686576,True,0.010968971885083483,0.0007336788689033946,0.01,0.007940883092493732,0.0018549768891904447,0.07,0.0003708111273278291,0.001738771111002715,0.92,0.0009917424246048412,0.0019197933184979788,0.755,-0.9868894280469072,0.09424270006990754,False,0.5811453093104451,0.21049225612840972,False
S08,9,None,0.00036415248177945614,0.0017050773792434482,0.93,0.000986977363936603,0.0024071327220881356,0.715,-0.1932286024093628,3.2431035494431852,True,-0.3137897253036499,2.6320529089774936,True,0.010867529534690253,0.0007235430998324291,0.01,0.007978364631025912,0.0015413701323923196,0.055,0.0004672717032395718,0.0012892291229097159,0.65,0.0010986641804844473,0.0017127089501296478,0.7,-0.968910443183599,0.13346577182713093,False,0.579777898885296,0.0008191042850620445,False
S08,10,None,0.00038410365232266486,0.0017491021216847,1.0,0.0008871126337908208,0.003422552370815538,1.0,-0.16752296686172485,2.8712055133655667,True,-0.22466856241226196,2.709581860527396,True,0.01092122659009568,0.0007369419600997064,0.01,0.007787358128758168,0.002573099552323532,0.09,0.0024556055892904927,0.0016989958473423539,0.155,0.009669752429200514,0.005317053119675952,0.08,0.0245696588247859,0.29950999995407146,True,0.8700510759546649,0.008468826117711492,False
